type,season,title,episodes,firstAired,lastAired,imageID
TV Series,1,Indigo League,82,"April 1, 1997","January 21, 1999",tv-0
TV Series,2,Adventures in the Orange Islands,36,"January 28, 1999","October 7, 1999",tv-1
TV Series,3,The Johto Journeys,41,"October 14, 1999","July 27, 2000",tv-2
TV Series,4,Johto League Champions,52,"August 3, 2000","August 2, 2001",tv-3
TV Series,5,Master Quest,65,"August 9, 2001","November 14, 2002",tv-4
TV Series,6,Advanced,40,"November 21, 2002","August 28, 2003",tv-5
TV Series,7,Advanced Challenge,52,"September 4, 2003","September 2, 2004",tv-6
TV Series,8,Advanced Battle,53,"September 9, 2004","September 29, 2005",tv-7
TV Series,9,Battle Frontier,47,"October 6, 2005","September 14, 2006",tv-8
TV Series,10,Diamond and Pearl,52,"September 28, 2006","October 25, 2007",tv-9
TV Series,11,Diamond and Pearl: Battle Dimension,52,"November 8, 2007","December 4, 2008",tv-10
TV Series,12,Diamond and Pearl: Galactic Battles,53,"December 4, 2008","December 24, 2009",tv-11
TV Series,13,Diamond and Pearl: Sinnoh League Victors,34,"January 7, 2010","September 9, 2010",tv-12
TV Series,14,Black & White,48,"September 23, 2010","September 15, 2011",tv-13
TV Series,15,Black & White: Rival Destinies,49,"September 22, 2011","October 4, 2012",tv-14
TV Series,16,Black & White: Adventures in Unova,25,"October 11, 2012","April 18, 2013",tv-15
TV Series,16,Black & White: Adventures in Unova and Beyond,20,"April 25, 2013","September 26, 2013",tv-16
TV Series,17,XY,48,"October 17, 2013","October 30, 2014",tv-17
TV Series,18,XY: Kalos Quest,45,"November 13, 2014","October 22, 2015",tv-18
TV Series,19,XYZ,47,"October 29, 2015","October 27, 2016",tv-19
TV Series,20,Sun & Moon,43,"November 17, 2016","September 21, 2017",tv-20
TV Series,21,Sun & Moon: Ultra Adventures,49,"October 5, 2017","October 14, 2018",tv-21
TV Series,22,Sun & Moon: Ultra Legends,54,"October 21, 2018","November 3, 2019",tv-22
TV Series,23,Journeys,48,"November 17, 2019","December 4, 2020",tv-23
TV Series,24,Master Journeys,42,"December 11, 2020","December 10, 2021",tv-24
TV Series,25,Ultimate Journeys,41,"December 17, 2021",present,tv-25